,season,week,team,opponent,score,opponent_score,total_rushes_allowed,total_rush_yards_allowed,rushing_epa_allowed,rush_tds_allowed,ypc_allowed,epa_allowed_per_carry,rush_td_allowed_per_carry,rush_def_win
0,2014,1,ARI,LAC,18,17,24,52.0,-8.805075,1.0,2.1666666666666665,-0.366878125,0.041666666666666664,1
1,2014,1,ATL,NO,37,34,28,139.0,4.2642536,3.0,4.964285714285714,0.15229477142857142,0.10714285714285714,0
2,2014,1,BAL,CIN,16,23,24,81.0,-4.8885007,0.0,3.375,-0.20368752916666666,0.0,1
3,2014,1,BUF,CHI,23,20,18,86.0,-0.055888094,0.0,4.777777777777778,-0.003104894111111111,0.0,1
4,2014,1,CAR,TB,20,14,17,102.0,1.0254097,0.0,6.0,0.060318217647058824,0.0,1
5,2014,1,CHI,BUF,20,23,31,197.0,4.3151383,1.0,6.354838709677419,0.13919800967741935,0.03225806451612903,0
6,2014,1,CIN,BAL,23,16,21,94.0,-0.09316294,1.0,4.476190476190476,-0.004436330476190476,0.047619047619047616,1
7,2014,1,CLE,PIT,27,30,29,127.0,-2.260673,2.0,4.379310344827586,-0.07795424137931035,0.06896551724137931,0
8,2014,1,DAL,SF,17,28,28,129.0,-3.4864633,1.0,4.607142857142857,-0.12451654642857143,0.03571428571428571,0
9,2014,1,DEN,IND,31,24,14,54.0,-2.7889926,1.0,3.857142857142857,-0.19921375714285713,0.07142857142857142,1
10,2014,1,DET,NYG,35,14,22,53.0,-6.9817786,1.0,2.409090909090909,-0.3173535727272727,0.045454545454545456,1
11,2014,1,GB,SEA,16,36,34,210.0,7.455015,2.0,6.176470588235294,0.21926514705882355,0.058823529411764705,0
12,2014,1,HOU,WAS,17,6,23,131.0,-3.2888758,1.0,5.695652173913044,-0.1429946,0.043478260869565216,0
13,2014,1,IND,DEN,24,31,28,105.0,0.6678378,1.0,3.75,0.02385135,0.03571428571428571,1
14,2014,1,JAX,PHI,17,34,32,145.0,-0.79308254,1.0,4.53125,-0.024783829375,0.03125,0
15,2014,1,KC,TEN,10,26,36,165.0,-3.090178,0.0,4.583333333333333,-0.08583827777777778,0.0,0
16,2014,1,LA,MIN,6,34,29,188.0,-1.8988177,1.0,6.482758620689655,-0.0654764724137931,0.034482758620689655,0
18,2014,1,LAC,ARI,17,18,26,110.0,-7.6973166,0.0,4.230769230769231,-0.29605063846153845,0.0,0
